term,calendar_day,d_label,weekday
FALL TERM,,,
75,10-Sep,D4,Tuesday
50,11-Sep,D1,Wednesday
75,12-Sep,D5,Thursday
70,13-Sep,D2,Friday
,,,,
75,16-Sep,D6,Monday
75,17-Sep,D3,Tuesday
50,18-Sep,D7,Wednesday
75,19-Sep,D4,Thursday
70,20-Sep,D1,Friday
,,,,
,23-Sep,,Monday
75,24-Sep,D5,Tuesday
50,25-Sep,D2,Wednesday
75,26-Sep,D6,Thursday
70,27-Sep,D3,Friday
,,,,
75,30-Sep,D7,Monday
75,1-Oct,D4,Tuesday
50,2-Oct,D1,Wednesday
,3-Oct,,Thursday
70,4-Oct,D5,Friday
,,,,
75,7-Oct,D2,Monday
75,8-Oct,D6,Tuesday
50,9-Oct,D3,Wednesday
75,10-Oct,D7,Thursday
70,11-Oct,D4,Friday
,,,,
75,14-Oct,D1,Monday
75,15-Oct,D5,Tuesday
,16-Oct,,Wednesday
75,17-Oct,D2,Thursday
50,18-Oct,D6,Friday
,19-Oct,FW,Saturday
,,,
,21-Oct,,Monday
75,22-Oct,D3,Tuesday
50,23-Oct,D7,Wednesday
75,24-Oct,D4,Thursday
70,25-Oct,D1,Friday
,,,,
75,28-Oct,D5,Monday
75,29-Oct,D2,Tuesday
50,30-Oct,D6,Wednesday
75,31-Oct,D3,Thursday
70,1-Nov,D7,Friday
,,,,
75,4-Nov,D4,Monday
75,5-Nov,D1,Tuesday
50,6-Nov,D5,Wednesday
75,7-Nov,D2,Thursday
70,8-Nov,D6,Friday
,,,,
75,11-Nov,D3,Monday
75,12-Nov,D7,Tuesday
50,13-Nov,D4,Wednesday
75,14-Nov,D1,Thursday
70,15-Nov,D5,Friday
,,,,
75,18-Nov,REVIEW,Monday
75,19-Nov,TEST/REV,Tuesday
90,20-Nov,TESTING,Wednesday
90,21-Nov,TESTING,Thursday
90,22-Nov,TESTING,Friday
WINTER TERM,,,,
75,3-Dec,D2,Tuesday
50,4-Dec,D6,Wednesday
75,5-Dec,D3,Thursday
70,6-Dec,D7,Friday
,,,,
75,9-Dec,D4,Monday
75,10-Dec,D1,Tuesday
50,11-Dec,D5,Wednesday
75,12-Dec,D2,Thursday
70,13-Dec,D6,Friday
,,,,
75,16-Dec,D3,Monday
75,17-Dec,D7,Tuesday
50,18-Dec,D4,Wednesday
50,19-Dec,D1,Thursday
,,,,
,6-Jan,,Monday
75,7-Jan,D5,Tuesday
50,8-Jan,D2,Wednesday
75,9-Jan,D6,Thursday
70,10-Jan,D3,Friday
,,,,
75,13-Jan,D7,Monday
75,14-Jan,D4,Tuesday
50,15-Jan,D1,Wednesday
75,16-Jan,D5,Thursday
70,17-Jan,D2,Friday
,,,,
,20-Jan,,Monday
75,21-Jan,D6,Tuesday
50,22-Jan,D3,Wednesday
,23-Jan,,Thursday
70,24-Jan,D7,Friday
,,,,
75,27-Jan,D4,Monday
75,28-Jan,D1,Tuesday
50,29-Jan,D5,Wednesday
75,30-Jan,D2,Thursday
70,31-Jan,D6,Friday
,,,,
75,3-Feb,D3,Monday
